Name,Abbreviation,Prefix,Population
Aargau,AG,_Kanton_,695.30
Appenzell Ausserrhoden,AR,_Kanton_,55.70
Appenzell Innerrhoden,AI,_Kanton_,16.30
Basel-Landschaft,BL,_Kanton_,291.30
Basel-Stadt,BS,_Kanton_,196.60
Bern,BE,_Kanton_,1046.30
Fribourg,FR,_Kanton_,325.20
Geneva,GE,_Kanton_,509.10
Glarus,GL,_Kanton_,43.90
Graubünden,GR,_Kanton_,198.90
Jura,JU,_Kanton_,73.80
Luzern,LU,_Kanton_,416.30
Neuchâtel,NE,_Kanton_,177.30
Nidwalden,NW,_Kanton_,43.90
Obwalden,OW,_Kanton_,162.60
Schaffhausen,SH,_Kanton_,83.60
Schwyz,SZ,_Kanton_,162.60
Solothurn,SO,_Kanton_,278.30
St. Gallen,SG,_Kanton_,516.70
Thurgau,TG,_Kanton_,282.90
Ticino,TI,_Kanton_,353.30
Uri,UR,_Kanton_,37.00
Valais,VS,_Kanton_,349.20
Vaud,VD,_Kanton_,815.60
Zug,ZG,_Kanton_,130.20
Zürich,ZH,_Kanton_,1553.60
Liechtenstein,FL,_,38.38